// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Sources\Projects\TestSolution\bin\Release\netcoreapp3.1\0970c095-6ac4-4228-bfdb-9a93b18f13b4
// command took 2,38s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Sources\Projects\TestSolution\bin\Release\netcoreapp3.1\0970c095-6ac4-4228-bfdb-9a93b18f13b4
// command took 4,65s and exited with 0
// ***** Done, took 00:00:07 (7.35 sec)   *****
// Found 3 benchmarks:
//   BenchmarkClass.SampleMethodSortedList: DefaultJob
//   BenchmarkClass.SampleMethodDictionary: DefaultJob
//   BenchmarkClass.SampleMethodHashset: DefaultJob

// **************************
// Benchmark: BenchmarkClass.SampleMethodSortedList: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "0970c095-6ac4-4228-bfdb-9a93b18f13b4.dll" --benchmarkName "TestSolution.BenchmarkClass.SampleMethodSortedList" --job "Default" --benchmarkId 0 in C:\Sources\Projects\TestSolution\bin\Release\netcoreapp3.1\0970c095-6ac4-4228-bfdb-9a93b18f13b4\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.17 (CoreCLR 4.700.21.31506, CoreFX 4.700.21.31502), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 1324000.00 ns, 1.3240 ms/op
WorkloadJitting  1: 1 op, 6826500.00 ns, 6.8265 ms/op

OverheadJitting  2: 16 op, 927100.00 ns, 57.9438 us/op
WorkloadJitting  2: 16 op, 1305100.00 ns, 81.5687 us/op

WorkloadPilot    1: 16 op, 31400.00 ns, 1.9625 us/op
WorkloadPilot    2: 32 op, 44200.00 ns, 1.3813 us/op
WorkloadPilot    3: 64 op, 73500.00 ns, 1.1484 us/op
WorkloadPilot    4: 128 op, 133800.00 ns, 1.0453 us/op
WorkloadPilot    5: 256 op, 257600.00 ns, 1.0062 us/op
WorkloadPilot    6: 512 op, 570300.00 ns, 1.1139 us/op
WorkloadPilot    7: 1024 op, 885800.00 ns, 865.0391 ns/op
WorkloadPilot    8: 2048 op, 2506100.00 ns, 1.2237 us/op
WorkloadPilot    9: 4096 op, 4802300.00 ns, 1.1724 us/op
WorkloadPilot   10: 8192 op, 8769700.00 ns, 1.0705 us/op
WorkloadPilot   11: 16384 op, 15328100.00 ns, 935.5530 ns/op
WorkloadPilot   12: 32768 op, 33586500.00 ns, 1.0250 us/op
WorkloadPilot   13: 65536 op, 49115600.00 ns, 749.4446 ns/op
WorkloadPilot   14: 131072 op, 97647100.00 ns, 744.9883 ns/op
WorkloadPilot   15: 262144 op, 164914700.00 ns, 629.0997 ns/op
WorkloadPilot   16: 524288 op, 262470600.00 ns, 500.6229 ns/op
WorkloadPilot   17: 1048576 op, 415174700.00 ns, 395.9414 ns/op
WorkloadPilot   18: 2097152 op, 862749100.00 ns, 411.3908 ns/op

OverheadWarmup   1: 2097152 op, 10403500.00 ns, 4.9608 ns/op
OverheadWarmup   2: 2097152 op, 10155800.00 ns, 4.8427 ns/op
OverheadWarmup   3: 2097152 op, 9873500.00 ns, 4.7081 ns/op
OverheadWarmup   4: 2097152 op, 10650600.00 ns, 5.0786 ns/op
OverheadWarmup   5: 2097152 op, 10448800.00 ns, 4.9824 ns/op
OverheadWarmup   6: 2097152 op, 9481700.00 ns, 4.5212 ns/op
OverheadWarmup   7: 2097152 op, 9964200.00 ns, 4.7513 ns/op
OverheadWarmup   8: 2097152 op, 10493400.00 ns, 5.0036 ns/op
OverheadWarmup   9: 2097152 op, 9733000.00 ns, 4.6411 ns/op

OverheadActual   1: 2097152 op, 9813100.00 ns, 4.6793 ns/op
OverheadActual   2: 2097152 op, 10440300.00 ns, 4.9783 ns/op
OverheadActual   3: 2097152 op, 10509900.00 ns, 5.0115 ns/op
OverheadActual   4: 2097152 op, 10266100.00 ns, 4.8953 ns/op
OverheadActual   5: 2097152 op, 10505400.00 ns, 5.0094 ns/op
OverheadActual   6: 2097152 op, 10652800.00 ns, 5.0797 ns/op
OverheadActual   7: 2097152 op, 11377800.00 ns, 5.4254 ns/op
OverheadActual   8: 2097152 op, 10640300.00 ns, 5.0737 ns/op
OverheadActual   9: 2097152 op, 10388200.00 ns, 4.9535 ns/op
OverheadActual  10: 2097152 op, 9867000.00 ns, 4.7050 ns/op
OverheadActual  11: 2097152 op, 10483800.00 ns, 4.9991 ns/op
OverheadActual  12: 2097152 op, 12763000.00 ns, 6.0859 ns/op
OverheadActual  13: 2097152 op, 11067900.00 ns, 5.2776 ns/op
OverheadActual  14: 2097152 op, 9888000.00 ns, 4.7150 ns/op
OverheadActual  15: 2097152 op, 10576100.00 ns, 5.0431 ns/op

WorkloadWarmup   1: 2097152 op, 838018300.00 ns, 399.5983 ns/op
WorkloadWarmup   2: 2097152 op, 843683000.00 ns, 402.2994 ns/op
WorkloadWarmup   3: 2097152 op, 853717100.00 ns, 407.0840 ns/op
WorkloadWarmup   4: 2097152 op, 852697700.00 ns, 406.5979 ns/op
WorkloadWarmup   5: 2097152 op, 836454900.00 ns, 398.8528 ns/op
WorkloadWarmup   6: 2097152 op, 833306800.00 ns, 397.3516 ns/op
WorkloadWarmup   7: 2097152 op, 855667700.00 ns, 408.0142 ns/op
WorkloadWarmup   8: 2097152 op, 842767200.00 ns, 401.8627 ns/op

// BeforeActualRun
WorkloadActual   1: 2097152 op, 854044600.00 ns, 407.2402 ns/op
WorkloadActual   2: 2097152 op, 838663900.00 ns, 399.9061 ns/op
WorkloadActual   3: 2097152 op, 849772200.00 ns, 405.2030 ns/op
WorkloadActual   4: 2097152 op, 835214200.00 ns, 398.2612 ns/op
WorkloadActual   5: 2097152 op, 846412900.00 ns, 403.6011 ns/op
WorkloadActual   6: 2097152 op, 842093100.00 ns, 401.5413 ns/op
WorkloadActual   7: 2097152 op, 833813500.00 ns, 397.5933 ns/op
WorkloadActual   8: 2097152 op, 843883600.00 ns, 402.3951 ns/op
WorkloadActual   9: 2097152 op, 846823200.00 ns, 403.7968 ns/op
WorkloadActual  10: 2097152 op, 855587100.00 ns, 407.9757 ns/op
WorkloadActual  11: 2097152 op, 840588400.00 ns, 400.8238 ns/op
WorkloadActual  12: 2097152 op, 825521500.00 ns, 393.6393 ns/op
WorkloadActual  13: 2097152 op, 855376800.00 ns, 407.8754 ns/op
WorkloadActual  14: 2097152 op, 850443100.00 ns, 405.5229 ns/op
WorkloadActual  15: 2097152 op, 851565100.00 ns, 406.0579 ns/op

// AfterActualRun
WorkloadResult   1: 2097152 op, 843539200.00 ns, 402.2308 ns/op
WorkloadResult   2: 2097152 op, 828158500.00 ns, 394.8967 ns/op
