// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Sources\Projects\TestSolution\bin\Release\netcoreapp3.1\4ccd1f25-41fc-472c-b59d-f60164dc1986
// command took 2,5s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Sources\Projects\TestSolution\bin\Release\netcoreapp3.1\4ccd1f25-41fc-472c-b59d-f60164dc1986
// command took 4,74s and exited with 0
// ***** Done, took 00:00:07 (7.78 sec)   *****
// Found 3 benchmarks:
//   BenchmarkClass.SampleMethodSortedList: DefaultJob
//   BenchmarkClass.SampleMethodDictionary: DefaultJob
//   BenchmarkClass.SampleMethodHashset: DefaultJob

// **************************
// Benchmark: BenchmarkClass.SampleMethodSortedList: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "4ccd1f25-41fc-472c-b59d-f60164dc1986.dll" --benchmarkName "TestSolution.BenchmarkClass.SampleMethodSortedList" --job "Default" --benchmarkId 0 in C:\Sources\Projects\TestSolution\bin\Release\netcoreapp3.1\4ccd1f25-41fc-472c-b59d-f60164dc1986\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.17 (CoreCLR 4.700.21.31506, CoreFX 4.700.21.31502), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 488100.00 ns, 488.1000 us/op
WorkloadJitting  1: 1 op, 6647900.00 ns, 6.6479 ms/op

OverheadJitting  2: 16 op, 841400.00 ns, 52.5875 us/op
WorkloadJitting  2: 16 op, 884000.00 ns, 55.2500 us/op

WorkloadPilot    1: 16 op, 61000.00 ns, 3.8125 us/op
WorkloadPilot    2: 32 op, 143300.00 ns, 4.4781 us/op
WorkloadPilot    3: 64 op, 185700.00 ns, 2.9016 us/op
WorkloadPilot    4: 128 op, 342000.00 ns, 2.6719 us/op
WorkloadPilot    5: 256 op, 724500.00 ns, 2.8301 us/op
WorkloadPilot    6: 512 op, 1680700.00 ns, 3.2826 us/op
WorkloadPilot    7: 1024 op, 2692100.00 ns, 2.6290 us/op
WorkloadPilot    8: 2048 op, 6361100.00 ns, 3.1060 us/op
WorkloadPilot    9: 4096 op, 10784200.00 ns, 2.6329 us/op
WorkloadPilot   10: 8192 op, 21604600.00 ns, 2.6373 us/op
WorkloadPilot   11: 16384 op, 42462500.00 ns, 2.5917 us/op
WorkloadPilot   12: 32768 op, 87614900.00 ns, 2.6738 us/op
WorkloadPilot   13: 65536 op, 145773600.00 ns, 2.2243 us/op
WorkloadPilot   14: 131072 op, 277555800.00 ns, 2.1176 us/op
WorkloadPilot   15: 262144 op, 501369200.00 ns, 1.9126 us/op

OverheadWarmup   1: 262144 op, 1256900.00 ns, 4.7947 ns/op
OverheadWarmup   2: 262144 op, 1256000.00 ns, 4.7913 ns/op
OverheadWarmup   3: 262144 op, 1347900.00 ns, 5.1418 ns/op
OverheadWarmup   4: 262144 op, 1322900.00 ns, 5.0465 ns/op
OverheadWarmup   5: 262144 op, 1318800.00 ns, 5.0308 ns/op
OverheadWarmup   6: 262144 op, 1465700.00 ns, 5.5912 ns/op
OverheadWarmup   7: 262144 op, 1267300.00 ns, 4.8344 ns/op

