// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Sources\Projects\TestSolution\bin\Release\netcoreapp3.1\5cf6154c-c74d-4bc0-a51a-2d814a6f2fb3
// command took 4,68s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Sources\Projects\TestSolution\bin\Release\netcoreapp3.1\5cf6154c-c74d-4bc0-a51a-2d814a6f2fb3
// command took 7,77s and exited with 0
// ***** Done, took 00:00:13 (13.76 sec)   *****
// Found 3 benchmarks:
//   BenchmarkClass.SampleMethodSortedList: DefaultJob
//   BenchmarkClass.SampleMethodDictionary: DefaultJob
//   BenchmarkClass.SampleMethodHashset: DefaultJob

// **************************
// Benchmark: BenchmarkClass.SampleMethodSortedList: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "5cf6154c-c74d-4bc0-a51a-2d814a6f2fb3.dll" --benchmarkName "TestSolution.BenchmarkClass.SampleMethodSortedList" --job "Default" --benchmarkId 0 in C:\Sources\Projects\TestSolution\bin\Release\netcoreapp3.1\5cf6154c-c74d-4bc0-a51a-2d814a6f2fb3\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.17 (CoreCLR 4.700.21.31506, CoreFX 4.700.21.31502), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 607600.00 ns, 607.6000 us/op
WorkloadJitting  1: 1 op, 11234000.00 ns, 11.2340 ms/op

OverheadJitting  2: 16 op, 1682100.00 ns, 105.1312 us/op
WorkloadJitting  2: 16 op, 2190700.00 ns, 136.9187 us/op

WorkloadPilot    1: 16 op, 139700.00 ns, 8.7312 us/op
WorkloadPilot    2: 32 op, 384400.00 ns, 12.0125 us/op
WorkloadPilot    3: 64 op, 483600.00 ns, 7.5563 us/op
WorkloadPilot    4: 128 op, 962600.00 ns, 7.5203 us/op
WorkloadPilot    5: 256 op, 1909000.00 ns, 7.4570 us/op
WorkloadPilot    6: 512 op, 3803800.00 ns, 7.4293 us/op
WorkloadPilot    7: 1024 op, 8075100.00 ns, 7.8858 us/op
WorkloadPilot    8: 2048 op, 16087600.00 ns, 7.8553 us/op
WorkloadPilot    9: 4096 op, 37639300.00 ns, 9.1893 us/op
WorkloadPilot   10: 8192 op, 68858700.00 ns, 8.4056 us/op
WorkloadPilot   11: 16384 op, 112040800.00 ns, 6.8384 us/op
WorkloadPilot   12: 32768 op, 153585900.00 ns, 4.6871 us/op
WorkloadPilot   13: 65536 op, 343887300.00 ns, 5.2473 us/op
WorkloadPilot   14: 131072 op, 451447600.00 ns, 3.4443 us/op
WorkloadPilot   15: 262144 op, 928707300.00 ns, 3.5427 us/op

OverheadWarmup   1: 262144 op, 1536800.00 ns, 5.8624 ns/op
OverheadWarmup   2: 262144 op, 1167600.00 ns, 4.4540 ns/op
OverheadWarmup   3: 262144 op, 1673300.00 ns, 6.3831 ns/op
